mcrTags,count
"[agent,amqp,analysis,annotations,apache,api,assertion,asynchronous,benchmark,binding,bridge,broker,bytecode,cache,cassandra,cbor,client,codehaus,command,command-line,commons,communication,concurrency,config,connector,container,database,dependency-injection,disruptor,distributed,driver,dsl,eclipse,elastic,elasticsearch,embedded,engine,execution,external,framework,generator,github,google,grails,groovy,grpc,hibernate,html,http,ibm,index,io,javaee,javax,jboss,jdbc,jetty,jms,jsf,json,jsp,junit,kafka,lambda,locking,logging,lucene,mapping,matching,math,memory,message,mock,mocking,module,mongodb,mvc,mysql,native,netty,network,nosql,orm,parser,performance,persistence,platform,plugin,pool,pooling,postgresql,process,profiling,protocol,provider,quality,queue,rabbitmq,redis,remoting,rest,rpc,scala,scheduling,schema,sdk,search,serialization,server,servlet,slf4j,socket,specs,spring,sql,standard,starter,streaming,stub,system,template,testing,tomcat,tracing,transport,tree,validation,vertx,web,web-framework,webserver,webservice,xml]",1
"[amazon,ant,apache,aws,build,cloud,codehaus,commons,computing,connector,database,driver,eclipse,embedded,google,io,jpa,json,junit,logging,mapping,math,mysql,persistence,sdk,sql,testing,tools,upload]",1
"[analysis,annotations,aop,apache,api,archetype,aspect,assets,base64,beans,binding,bridge,broker,build,build-system,bytecode,cache,cli,client,codec,codehaus,command-line,commons,compiler,compression,config,console,container,coordination,database,dependency-injection,deployment,directory,distributed,dom,driver,eclipse,embedded,encoding,encryption,expression,framework,github,google,hsql,http,integration,interface,io,javax,jaxrs,jdbc,jetty,json,junit,jvm,kafka,language,ldap,library,logging,mail,mapping,matching,math,maven,memory,message,migration,mock,mocking,module,mongodb,native,netty,network,nosql,off-heap,orm,parser,persistence,platform,plugin,pool,postgresql,python,query,reflection,relational,rest,rpc,schema,security,server,servlet,slf4j,socket,specs,spring,sql,ssh,standard,streaming,swagger,terminal,testing,transaction,ui,unix,view,web,webapp,webserver,webservice,xml,zookeeper]",1
"[annotation,annotations,api,archetype,assertion,binding,client,config,dependency-injection,doc,google,graphics,javax,jaxrs,jboss,json,junit,logging,maven,mock,mocking,quality,rest,slf4j,specs,spring,standard,starter,testing,validation]",1
"[apache,api,client,container,elastic,elasticsearch,io,kubernetes,logging,native,search,server]",1
"[apache,api,avro,beans,bridge,broker,cassandra,client,commons,compiler,computing,config,coordination,csv,database,dependency-injection,distributed,driver,eclipse,elastic,elasticsearch,engine,expression,framework,google,hadoop,http,io,json,junit,jvm,kafka,language,library,logging,management,message,metrics,mock,mocking,module,mongodb,monitoring,nosql,performance,plugin,processing,protocol,query,random,reflection,rule-engine,scala,search,serialization,server,shell,slf4j,solr,spark,spring,stream,streaming,tabular,testing,testng,typesafe]",1
"[agent,analysis,android,aop,api,aspect,beans,binding,bootstrap,dependency-injection,google,io,javax,junit,mock,mocking,module,platform,plugin,reflection,service,specs,standard,support,testing,xml]",1
"[apache,api,bridge,client,framework,http,junit,logging,mime,mock,mocking,search,slf4j,solr,testing]",1
"[amazon,analysis,apache,authentication,aws,build,build-system,client,cloud,codehaus,config,container,date,directory,docker,dsl,google,http,interface,io,json,kubernetes,ldap,maven,metadata,oauth,platform,processor,protocol,proxy,registry,resource,rest,runner,sdk,security,server,shell,spring,starter,support,testing,time,ui,web,yaml]",1
"[cli,experimental,native,parser,spring]",1
"[client,http,json,junit,library,matching,testing]",1
"[apache,api,bridge,cli,client,console,cryptography,dependency-injection,eclipse,github,google,http,io,jetty,junit,logging,mock,mocking,parser,server,servlet,slf4j,support,terminal,testing,tracking,webserver,yaml]",1
"[apache,compression,github,hadoop,io]",1
"[annotations,apache,api,build,build-system,client,codehaus,dispatcher,http,junit,matching,maven,model,plugin,provider,testing,tools]",1
"[analysis,google,json,yaml]",1
"[amazon,annotations,apache,api,aws,build,build-system,codehaus,hadoop,json,maven,model,plugin,s3,sdk,tools]",1
"[assertion,io,junit,quality,testing,validation]",1
"[annotations,apache,api,client,commons,connector,database,driver,elastic,elasticsearch,encoder,github,hibernate,io,logging,mysql,persistence,pooling,redis,rest,search,server,spring,starter,swagger,ui,validation]",1
"[annotations,apache,build,build-system,bytecode,compiler,engine,github,io,java,junit,library,matching,maven,mock,mocking,parser,plugin,testing,tools]",1
"[apache,api,barcode,base64,beans,binding,bridge,bytecode,camera,client,codec,commons,editor,encoding,engine,forms,github,google,graphics,http,io,javax,json,junit,jvm,language,logging,math,mock,mocking,python,reflection,runtime,slf4j,specs,standard,svg,swing,testing,webcam,webservice,xml]",1
"[apache,api,client,database,github,junit,logging,matching,mock,mocking,redis,security,slf4j,testing]",1
"[ant,api,assertion,bridge,build,codehaus,junit,logging,matching,mock,mocking,plugin,quality,sonar,testing,toolkit,tools,validation]",1
"[apache,api,assertion,authentication,bytecode,client,commons,compiler,database,engine,expression,github,graphql,io,json,junit,language,logging,mock,mocking,parser,quality,reactive,redis,runtime,schema,service,slf4j,streaming,swagger,template,testing,validation,vertx,web,webservice]",1
"[matching,mock,mocking,testing]",1
"[apache,api,binding,client,command,commons,compression,execution,external,github,google,html,htmlunit,http,io,json,junit,logging,messaging,parser,process,slf4j,testing,web,websocket]",1
"[actor,akka,analysis,annotations,apache,api,assets,binding,build,build-system,bytecode,chart,client,command,commons,compression,concurrency,config,css,data,database,defect,dependency-injection,distributed,eclipse,embedded,execution,external,framework,frontend,generator,github,google,gwt,hsql,html,http,io,javax,json,junit,logging,machine-learning,management,matching,maven,metadata,metrics,mobile,mock,mocking,model,monitoring,mvc,performance,platform,plugin,portlet,process,reflection,resource,runtime,server,servlet,slf4j,solver,specs,spring,sql,standard,styles,swagger,symbol,template,tensorflow,testing,tomcat,tools,typesafe,ui,upload,validation,visualization,web,web-framework,webserver,xml]",1
"[apache,compiler,config,engine,framework,github,mvc,parser,processor,runtime,security,spring,starter,template,web,web-framework]",1
"[api,bridge,engine,javax,logging,servlet,slf4j,specs,standard,template]",1
"[apache,api,binding,bridge,bytecode,expression,framework,grails,groovy,hibernate,javax,jsf,json,jsp,junit,language,logging,mock,mocking,mvc,persistence,security,servlet,slf4j,specs,spring,standard,taglib,testing,upload,validation,web,web-framework]",1
"[config,html,javax,jenkins,mail,mock,mocking,parser,plugin,provider,specs,standard,testing]",1
"[amazon,apache,aws,beans,column,io,jvm,language,library,mock,mocking,parquet,reflection,scala,sdk,serialization,testing,tools]",1
"[analysis,annotations,bytecode,defect,extension,framework,google,gwt,junit,metadata,protocol,serialization,testing,ui,web]",1
"[apache,commons,compression,html,json,parser,ruby,text,xml]",1
